Product,Price,Link
Shop on eBay,$20.00,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Lenovo 11e 4th Gen - Intel CPU - 8GB RAM - 256GB M.2 SSD -Webcam- Windows 10 Pro,$95.00,https://www.ebay.com/itm/114424963833?hash=item1aa44262f9:g:PRUAAOSwRZtfZRsr&amdata=enc%3AAQAHAAAA0D6Pw5hfVOCKKe%2FSVw6TmFye7cm2XDmBsmkZHR1cqksApUJkqZ9lWubZhgr%2BSsBDWDSIHv0QEyOTUVyADoh%2Bkvd%2BmCnqKMYMgGc6EmLfEd5SQVearzfIgrptSacmD%2F7WasoE06BtsssjZyvNt4%2FvHzLS3F%2FGC%2BYmh7mwi35DphZjtZ9nFroxq1Sn3Cg%2F1Qgfy0rYcg0ApVxqktYdqPBIbkT%2BD86EnIpMV%2FD%2BNvI0rU4g58tfm%2F71s4klxb4y81DH3b%2FKI6usNAML0fh3UJGowMo%3D%7Ctkp%3ABFBMmN-BusRh
"HP Chromebook 11 G4 11.6"" Intel 2.16 GHz 4GB RAM 16GB eMMC Bluetooth HDMI Webcam",$79.99,https://www.ebay.com/itm/115603286837?hash=item1aea7e2b35:g:nV0AAOSw~wdjfE2o&amdata=enc%3AAQAHAAAA4FUIsZjnio5UoZyhfEwEBDB%2F8P63UOlDRtgpa75ncm3mW5ThSmwk8DTnpSauwGFuW7PYdofuBaUo0p05pehu6uD2TdoRRkRQc7wN96aBvvn3AWh8NrD%2F1jqudKYJ6izx%2FqefFL2oelrO2FP%2FnORaaq5pi%2BePmENXKILsllwsfXgL%2BeNOrLJcPKYUaNYYzz%2B9zZOl4u6RLP7KlkECgNQCOv4IVu3Yz6SrmVF6JpdItsDbKXA1X%2FdHtGsJOVikaCQfTizCxLKNHXzvSIgelI8uPH2IliIbi61csny3fgOxN25u%7Ctkp%3ABFBMmN-BusRh
"Dell Chromebook 11 3180 - 11.6"" - Celeron N3060 4GB RAM 16GB eMMC ",$49.99,https://www.ebay.com/itm/354541606716?epid=5031038181&hash=item528c53973c:g:VG0AAOSwsjNj3YYZ&amdata=enc%3AAQAHAAAA0Db4bfZznm6kDSSle2Z0WR69EE9HwepujRk9QTu3dphIeJehcO76zgX82Q1HacEOd9IulrMffAQ99naR3Ere4xPuM1daPD3D2XSEC83EnpBXQS3XvlwEWqaLzBtQRsUCqUQn4IrJYkbf4PyGf3RzfiuS42XUHwd3XR2q%2BnC45mkWuDUtA5uoX6kwGgpvVLImde3YOIyNX8qE7NdQaTDnZhpB0apuc%2FEXI1q6Oo%2BTnOzvkZ6BFdSbzq%2FNZE3JkPAPFT9Vg5dH8%2B7OvtugvSDV4OU%3D%7Ctkp%3ABFBMmN-BusRh
CHUWI HeroBook Pro 14.1 in Laptop Windows 11 Intel N4020 8G+256G SSD Notebook PC,$219.99,https://www.ebay.com/itm/334142194228?hash=item4dcc6d4234:g:mhUAAOSwQvdhk17r&amdata=enc%3AAQAHAAAA4FHCHkl0QhuHncQlT4D0bokPR0xkzdlGGM0Zp%2BkgdAuPe0w9XEAvdPBYc7VnbkH%2FE0A7vBmwX0QrLyGT0JWhlQpIz905KuWhJlQurcU7TfnyHPUht8J8OyNDsBR2LdWaXjjjsv%2FWP1fuIX8pFw3RrzJxHDmzLAMkVyGrsmLMkcf7VKudcUu2Lky35D38TBu%2FlvPQolyKRq7M%2F077VZU5KEZZbVEI8w%2B3jwuLgA9kRyBr256dUrcqbL3sUpCstVWLU0d8JiDanc3xP%2FnVw0N1PQvN1S2mcOyHoXDfZnA4DqJu%7Ctkp%3ABFBMmN-BusRh
MICROSOFT SURFACE PRO 5&4 Core i7 8GB 1TB/512GB Original Accessories Docking Pen,$230.00 to $310.00,https://www.ebay.com/itm/134412315614?hash=item1f4b992bde:g:ItMAAOSwIhJjwjWV&amdata=enc%3AAQAHAAAA4AoDpXVHfIC%2FwI886p5R3SqGG9gsNiwcLJU8793sPJMa7bEwomaTJa%2Fu5RlRdZRPu4hik4V819zv%2BsXHBJkOf5iDzvqQ0pCjCAeKHqdU68UGYhEV%2B9jo%2B5dLk3Ry5QuTJPYYdTRiFAFH%2FAA%2FuZOaLOGT4AqKahFJkZg6wUr5ofPhyIPKfXb7VTIUrdOUSDuYfWmgXEDFd8ZTxWFCC9lKjCLud%2By%2B7yNlqJo6lMJEEAeOR60VJH6Bg8Ji%2B%2F9qpXfe1T%2BEzX7R%2F0AUB36kqeJ11FSe6UmH%2BYGNjcG3hUQ%2FoBrg%7Ctkp%3ABk9SR5jfgbrEYQ
"HP ProBook 640 G2 14"" Laptop Intel i5 6200U 4GB RAM 128GB SSD Win10 Pro -Good",$99.99,https://www.ebay.com/itm/275510385662?hash=item4025b2dbfe:g:tZwAAOSwksdjU9yF&amdata=enc%3AAQAHAAAAkDZPBFANgOjx0vtYBOvRuu0XQbD2iKIqoruIIjpV%2FUdDOPB1Wk%2F6VTXfT%2F6E64SK%2BcSQVSnx38FqWyPZp1gZ%2B13hv1kMIfk9xTOWHp78EXeW1%2B3oHK2dBAxx3UtNx27ot1jf6zz9yYCpcdWt4rl7R3ZS%2Bl3C0E3%2Flti3%2BGDfyxNgXDCyh7zkG8g0G7cSiu6jLQ%3D%3D%7Ctkp%3ABk9SR5jfgbrEYQ
"New ListingLaptop hp Notebook AMD A8, AMD Radeon Graphics ",$54.29,https://www.ebay.com/itm/204234667777?hash=item2f8d55b701:g:EBUAAOSwmlVjU812&amdata=enc%3AAQAHAAAAoLqS9eG%2FdDj0MhefyngQDXNwRBAtieJwoWNuqj0VDVQXums%2FGBR4i%2BzPFmJlm6H%2FY%2FXXEh60nWqz7HpFSf8V7vJWQCVV8JvT8zuAeDMA9CFPSFTADGcM3oTV1%2B%2BfbYkpcOSRDlsBGbHnH1mfZAnCgo8WZJHaM6DeIRw7T%2BZWh4mUnIsV99rNrrIvqZO12vnFbuKunUB36umMuCJq5QlY%2FII%3D%7Ctkp%3ABk9SR5jfgbrEYQ
Microsoft Surface Laptop 2 (1769) i7-8650U @ 1.9GHz 16GB RAM 512GB NVMe SSD,$299.99,https://www.ebay.com/itm/175560066941?hash=item28e032077d:g:kJ4AAOSwPdpjtNMw&amdata=enc%3AAQAHAAAAoLh5RAKX5IQfcxZZ8Qo9ymd7kzLrARBium5H3SxHxTcWBFFQ6%2FQ1kX87w1YiuWYTXrS1112iM9SH%2BcuIIdHjYr4Q9lqLpZbdTm5eltWE8qEAa6jEhV1zdt%2F2mUFxzn6OD5FKj6EMILpiCB16trgZqBfiVtIhuG9lrP6lvzCRAh375OyF7EcT%2B3cOjd%2BjA15vYEKZzJoCw%2B0eWqmLfJgOkhA%3D%7Ctkp%3ABk9SR5jfgbrEYQ
HP Spectre x360 13-AE013DX Touchscreen 2-in-1 512GB SSD 16GB RAM Laptop 4K(UHD),$435.00,https://www.ebay.com/itm/185756971286?hash=item2b3ffa7116:g:lg8AAOSwledjt2gu&amdata=enc%3AAQAHAAAAkEcvZ5%2BEYxOP0P32DR56I1l9o7dVEux6GuhfW4lSfVB4%2FoeXV2LcKP9VEHoZ530F2BujMJNYenoujiLFD%2BC3cnMtxYXFE1M6eiEMJUqIG3R1VvMa9kLQ8IyaKzQqUa4rUPv5mv3aQ1OU%2Bpp8HXBm0Lt0QjnpVv8L8dWypbOtzFYMnW%2FWzB3wwokc2yEIVEDzbA%3D%3D%7Ctkp%3ABk9SR5jfgbrEYQ
